target_table,cm_table,target_column,data_type,description,reference_key,reference_column_name,remarks,included_data_model_v1
dim_barangay,barangay,barangay_key,Integer,unique identifier of  the barangay,Primary Key,,,Yes
dim_barangay,barangay,city_key,Integer,unique identifier of  the city where the barangay belongs to,Foreign Key,dim_city.city_key,,Yes
dim_barangay,barangay,province_key,Integer,unique identifier of the province,Foreign Key,dim_province.province_key,,Yes
dim_barangay,barangay,region_key,Integer,unique identifier of region,Foreign Key,dim_region.region_key,,Yes
dim_barangay,barangay,country_key,Integer,unique identifier of country,Foreign Key,dim_country.country_key,,Yes
dim_barangay,barangay,barangay_name,Varchar,label name of the barangay,,,,Yes
dim_barangay,barangay,is_urban,Boolean,indicator whether the barangay is classified as urban or rural,,,,Yes
dim_barangay,barangay,population_2020,Integer,latest population figure of barangay,,,,Yes
dim_barangay,barangay,latitude,Decimal,barangay latitude defined in coordinate_system,,,,Yes
dim_barangay,barangay,longitude,Decimal,barangay longitude defined in coordinate_system,,,,Yes
dim_barangay,barangay,geometry: polygon,Array,barangay administrative boundary polygon given by the GADM,,,,Yes
dim_barangay,barangay,centroid,Array,"barangay centroid in (latitude, longitude) defined in the coordinate_system",,,,Yes
dim_barangay,barangay,crs,Varchar,coordinate system used,,,,Yes
dim_barangay,barangay,created_date,Timestamp,date and time when the record was created,,,,Yes
dim_barangay,barangay,updated_date,Timestamp,date and time when the record was most recently updated or modified,,,,Yes
dim_branch,branch,branch_key,Integer,unique identifier of the branch,Primary Key,,,Yes
dim_branch,branch,business_unit_key,Integer,unique identifier of the business unit which the branch belongs to,Foreign Key,dim_business_unit.business_unit_key,,Yes
dim_branch,branch,company_key,Integer,unique identifier of the company which the branch belongs to,Foreign Key,dim_company.company_key,,Yes
dim_branch,branch,country_key,Integer,unique identifier of the country where the branch belongs to,Foreign Key,dim_country.country_key,,Yes
dim_branch,branch,region_key,Integer,unique identifier of the region where the branch belongs to,Foreign Key,dim_region.region_key,,Yes
dim_branch,branch,province_key,Integer,unique identifier of the province where the branch belongs to,Foreign Key,dim_province.province_key,,Yes
dim_branch,branch,city_key,Integer,unique identifier of the city where the branch belongs to,Foreign Key,dim_city.city_key,,Yes
dim_branch,branch,barangay_key,Integer,unique identifier of the barangay where the branch belongs to,Foreign Key,dim_barangay.barangay_key,,Yes
